mineral,formula,system
ABELSONITE,C31H32N4Ni,A
ABENAKIITE-(Ce),Na26(Ce|Nd|La|Pr|Th|Sm)6(SiO3)6(PO4)6(CO3)6(S++++O2)O,R
ABERNATHYITE,K2(UO2)2(AsO4)2.8H2O,Q
ABHURITE,Sn++21Cl16(OH)14O6,R
ABRAMOVITE,Pb2SnInBiS7,A ps Q
ABSWURMBACHITE,Cu++Mn+++6SiO12,Q
ACANTHITE,Ag2S,M
ACETAMIDE,CH3CONH2,R
ACHAVALITE,(?),FeSe,R
ACTINOLITE,[]Ca2(Mg|Fe++)5Si8O22(OH)2,M
ACUMINITE,SrAlF4(OH).H2O,M
ADAMITE,Zn2(AsO4)(OH),O/M
ADAMSITE-(Y),NaY(CO3)2.6H2O,A
ADELITE,CaMg(AsO4)(OH),O
ADMONTITE,MgB6O10.7H2O,M
ADOLFPATERAITE,K(UO2)(SO4)(OH).H2O,M
ADRANOSITE-(Al),(NH4)4NaAl2(SO4)4(OH)2Cl,Q
ADRANOSITE-(Fe),(NH4)4NaFe2(SO4)4Cl(OH)2,Q
AEGIRINE,NaFe+++Si2O6,M
AEGIRINEAUGITE,(AEGIRINE-AUGITE),(?),(Ca|Na)(Mg|Fe++|Fe+++)Si2O6,M
AENIGMATITE,Na2Fe++5Ti++++Si6O20,A
AERINITE,(Ca5|1Na0|5)(Fe+++AlFe++1|7Mg0|3)(Al5|1Mg0|7)[Si12O36(OH)12H].[(CO3)1|2(H2O)12],H
AERUGITE,Ni17As6O32,R
AESCHYNITE-(Ce),(Ce|Ca|Fe|Th)(Ti|Nb)2(O|OH)6,O
AESCHYNITE-(Nd),(Nd|Ce|Ca)(Ti|Nb)2(O|OH)6,O
AESCHYNITE-(Y),(Y|Ca|Fe|Th)(Ti|Nb)2(O|OH)6,O
AFGHANITE,(Na|Ca|K)8(Si|Al)12O24(SO4|Cl|CO3)3.H2O,H
AFMITE,Al3(OH)4(H2O)3(PO4)(PO3OH)úH2O,A
AFWILLITE,Ca3Si2O4(OH)6,M
AGAITE,Pb3Cu++Te++++++O5(OH)2(CO3),O
AGAKHANOVITE-(Y),(YCa)[]2KBe3Si12O30,H
AGARDITE-(Ce),(Ce|Ca|La)Cu6(AsO4)3(OH)6.3H2O,H
AGARDITE-(Dy),(?),(Dy|La|Ca)Cu6(AsO4)3(OH)6.3H2O,(?),H
AGARDITE-(La),(La|Ca)Cu6(AsO4)3(OH)6.3H2O,H
AGARDITE-(Nd),(Nd|La|Y)Cu6(AsO4)3(OH)6.3H2O,H
AGARDITE-(Y),(Y|Ca)Cu6(AsO4)3(OH)6.3H2O,H
AGRELLITE,NaCa2Si4O10F,A
AGRICOLAITE,K4(UO2)(CO3)3,M
AGRINIERITE,K2(Ca|Sr)(UO2)6O6(OH)4.5H2O,O
AGUILARITE,Ag4SeS,O
AHEYLITE,(Fe++|Zn)Al6(PO4)4(OH)8.4H2O,A
AHLFELDITE,(Ni|Co)SeO3.2H2O,M
AHRENSITE,Fe2SiO4,C
AIKINITE,PbCuBiS3,O
AIOLOSITE,Na4Bi+++(SO4)3Cl,H
AJOITE,(K|Na)Cu++7AlSi9O24(OH)6.3H2O,A
AKAGANEITE,beta-Fe+++(O|OH|Cl),M ps Q
AKAOGIITE,TiO2,M
AKATOREITE,(Mn++|Fe++)9Al2Si8O24(OH)8,A
AKDALAITE,4Al2O3.H2O,H
AKERMANITE,Ca2MgSi2O7,Q
AKHTENSKITE,epsilon-Mn++++O2,H
AKIMOTOITE,(Mg|Fe++)(SiO3),R
AKLIMAITE,Ca4[Si2O5(OH)2](OH|F)4.5H2O,M
AKROCHORDITE,Mn++4Mg(AsO4)2(OH)4.4H2O,M
AKSAITE,MgB6O7(OH)6.2H2O,O
AKTASHITE,Cu6Hg3As4S12,A
ALABANDITE,Mn++S,C
ALACRANITE,As8S9,M
ALAMOSITE,PbSiO3,M
ALARSITE,AlAsO4,R
ALBITE,NaAlSi3O8,A
ALBRECHTSCHRAUFITE,Ca4Mg(UO2)2(CO3)6F2.17H2O,A
ALCAPARROSSAITE,K3Ti++++Fe+++(SO4)4O(H2O)2,M
ALDERMANITE,Mg5Al12(PO4)8(OH)22.32H2O,O
ALDRIDGEITE,(Cd|Ca)(Cu|Zn)4(SO4)2(OH)6.3H2O,M
ALDZHANITE,(?),CaMgB2O4Cl.7H2O,(?),O
ALEKSANDROVITE,KCa7Sn2Li3Si12O36F2,M
ALEKSITE,PbBi2Te2S2,R
ALFLARSENITE,Ca7(SiO4)3(OH)2,M
ALFORSITE,Ba5(PO4)3Cl,H
ALFREDSTELZNERITE,Ca4(H2O)4[B4O4(OH)6]4(H2O)15,O
ALGODONITE,Cu6As,H
ALIETTITE,Ca0|2Mg6(Si|Al)8O20(OH)4.4H2O
ALLABOGDANITE,(Fe|Ni)2P,O
ALLACTITE,Mn7(AsO4)2(OH)8,M
ALLANITE-(Ce),(Ce|Ca|Y)2(Al|Fe++|Fe+++)3(SiO4)3(OH),M
ALLANITE-(La),Ca(La|REE|Ca)Al2(Fe2+|Fe3+)(SiO4)(Si2O7)O(OH),M
ALLANITE-(Nd),CaNdAl2Fe++(SiO4)(Si2O7)O(OH),M
ALLANITE-(Y),Ca(Y|Ce|La)(Al|Fe++|Fe+++)3(SiO4)3(OH),M
ALLANPRINGITE,Fe+++3(PO4)2(OH).5H2O,M
ALLARGENTUM,Ag1-xSbx,H
ALLEGHANYITE,Mn++5(SiO4)2(OH)2,M
ALLENDEITE,Sc4Zr3O12,R
ALLOCHALCOSELITE,Cu+Cu++5PbO2(SeO3)2Cl5,M
ALLOCLASITE,(Co|Fe)AsS,M
ALLOPHANE,Al2O3.(SiO2)1|3-2.(H2O)2|5-3,am.
ALLORIITE,(Na|Ca|K)13Ca2(Al6Si6O24)2(SO4)3Cl2.2H2O,R ps H
ALLUAIVITE,Na19(Ca|Mn++)6(Ti|Nb)3(Si3O9)2(Si10O28)2Cl.2H2O,R
ALLUAUDITE,NaCaFe++(Mn++|Fe++|Fe+++|Mg)2(PO4)3,M
ALMANDINE,{Fe++3}[Al2](Si3)O12,C
ALMARUDITE,(K|Na)(Mn++|Fe++|Mg)2(Be|Al)3(Si12O30),H
ALMBOSITE,Fe++5Fe+++4V+++++4Si3O27,(?)
ALPERSITE,(Mg|Cu)SO4.7H2O,M
ALSAKHAROVITE-Zn,(Na|Ca)Sr(K|Ba)Zn(Ti|Nb)4(Si4O12)2(O|OH)4.7H2O,M
ALSTONITE,BaCa(CO3)2,A ps O
ALTAITE,PbTe,C
ALTHAUSITE,Mg2(PO4)(OH|F|O),O
ALTHUPITE,ThAl(UO2)7(PO4)4(OH)5.15H2O,A
ALTISITE,Na3K6Ti2Al2Si8O26Cl3,M
ALUM-(K),KAl(SO4)2.12H2O,C
ALUM-(Na),NaAl(SO4)2.12H2O,C
ALUMINITE,Al2(SO4)(OH)4.7H2O,M ps O
ALUMINIUM,Al,C
ALUMINOBARROISITE,(?),[](CaNa)Mg3Al2Si7AlO22(OH)2,(?),M
